text,intent,card_type,account_type,loan_type,amount,account_number,date,day,response
Transfer ₹5000 from my savings to checking,transfer_money,,savings,,₹5000,,,,Your transfer request has been initiated successfully. Please confirm the amount and recipient.
What's my current balance?,check_balance,,current,,,,,,"Your current account balance is ₹25,000."
How much money do I have in my checking account?,check_balance,,checking account,,,,,,"Your current account balance is ₹25,000."
Show me my savings account balance,check_balance,,savings,,,,,,"Your current account balance is ₹25,000."
I want to move ₹15000 to account 987654,transfer_money,,,,₹15000,987654,,,Your transfer request has been initiated successfully. Please confirm the amount and recipient.
What is my account number?,account_info,,,,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
Give me details of the main branch,get_branch_details,,,,,,,,You can locate branches using our branch locator on the website or app. Want me to find the nearest one?
What is the interest rate for savings?,get_interest_rate,,savings,,,,,,Loan interest rates depend on loan type and your profile. Which loan are you asking about (personal/home/business)?
Can you tell me my account details?,account_info,,,,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
Where is the branch in Bangalore?,get_branch_details,,,,,,,,You can locate branches using our branch locator on the website or app. Want me to find the nearest one?
Show me the nearest branch address,get_branch_details,,,,,,,,You can locate branches using our branch locator on the website or app. Want me to find the nearest one?
Tell me about cards,card_info,,,,,,,,"We offer both credit and debit cards. Do you want information about a credit card or a debit card?"
I want card details,card_info,,,,,,,,"We offer both credit and debit cards. Do you want information about a credit card or a debit card?"
Give me card information,card_info,,,,,,,,"We offer both credit and debit cards. Do you want information about a credit card or a debit card?"
Tell me about credit cards,card_info,credit card,,,,,,,"A credit card lets you borrow funds up to a certain limit and pay later with interest."
Give me debit card details,card_info,debit card,,,,,,,"A debit card is linked to your account and lets you spend available balance."
What is a visa card?,card_info,visa card,,,,,,,"A Visa card is a globally accepted payment card backed by Visa network."
Tell me about rupay card,card_info,rupay card,,,,,,,"RuPay is an Indian domestic card scheme offering debit and credit cards."

I want to create a new joint account,create_account,,joint account,,,,,,"You can open a new account online in minutes. I can guide you through the documents required (ID proof, address proof)."
Please block my credit card,lost_card,credit card,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
I have lost my atm card,lost_card,atm card,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
I want to apply for a home loan,apply_loan,,,,,home loan,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
What is the interest on my personal loan?,get_interest_rate,,,personal loan,,,,,Loan interest rates depend on loan type and your profile. Which loan are you asking about (personal/home/business)?
What is the interest rate for my education loan?,get_interest_rate,,,education loan,,,,,Loan interest rates depend on loan type and your profile. Which loan are you asking about (personal/home/business)?
I forgot my account number,account_info,,,,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I want to apply for a student loan,apply_loan,,,student loan,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
Show me my transaction history for last week,check_history,,,,,,last week,,"Your current account balance is ₹25,000. Would you like a mini statement?"
Show me my transactions for yesterday,check_history,,,,,,,yesterday,"Your current account balance is ₹25,000. Would you like a mini statement?"
I want to check my account balance on 01/01/2023,check_balance,,,,,,01-01-2023,,"Your current account balance is ₹25,000."
What is the current loan rate on a business loan?,get_interest_rate,,,business loan,,,,,Loan interest rates depend on loan type and your profile. Which loan are you asking about (personal/home/business)?
I want to apply for a car loan,apply_loan,,,car loan,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I need to send ₹2000 to my brother,transfer_money,,,,₹2000,,,,Your transfer request has been initiated successfully. Please confirm the amount and recipient.
Can you transfer 1000 rupees to account 123456789?,transfer_money,,,,1000 rupees,123456789,,,Your transfer request has been initiated successfully. Please confirm the amount and recipient.
Deposit 5000 into my current account,transfer_money,,current,,5000,,,,Your transfer request has been initiated successfully. Please confirm the amount and recipient.
I want to check my account balance,check_balance,,,,,,,,"Your current account balance is ₹25,000."
How much is in my account?,check_balance,,,,,,,,"Your current account balance is ₹25,000."
Please show me my available funds,check_balance,,,,,,,,"Your current account balance is ₹25,000."
Can you give me my account number?,account_info,,,,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
