text,intent,card_type,account_type,loan_type,amount,account_number,date,day
Transfer ₹5000 from my savings to checking,transfer_money,,savings,,₹5000,,,
What's my current balance?,check_balance,,current,,,,,
How much money do I have in my checking account?,check_balance,,checking account,,,,,
Show me my savings account balance,check_balance,,savings,,,,,
I want to move ₹15000 to account 987654,transfer_money,,,,₹15000,987654,,
What is my account number?,account_info,,,,,,,
Give me details of the main branch,get_branch_details,,,,,,,
What is the interest rate for savings?,get_interest_rate,,savings,,,,,
Can you tell me my account details?,account_info,,,,,,,
Where is the branch in Bangalore?,get_branch_details,,,,,,,
Show me the nearest branch address,get_branch_details,,,,,,,
I want to create a new joint account,create_account,,joint account,,,,,
Please block my credit card,lost_card,credit card,,,,,,
I have lost my atm card,lost_card,atm card,,,,,,
I want to apply for a home loan,apply_loan,,,,,home loan,,
What is the interest on my personal loan?,get_interest_rate,,,personal loan,,,,
What is the interest rate for my education loan?,get_interest_rate,,,education loan,,,,
I forgot my account number,account_info,,,,,,,
I want to apply for a student loan,apply_loan,,,student loan,,,,
Show me my transaction history for last week,check_history,,,,,,last week,
Show me my transactions for yesterday,check_history,,,,,,,yesterday
I want to check my account balance on 01/01/2023,check_balance,,,,,,01-01-2023,
What is the current loan rate on a business loan?,get_interest_rate,,,business loan,,,,
I want to apply for a car loan,apply_loan,,,car loan,,,,
I need to send ₹2000 to my brother,transfer_money,,,,₹2000,,,
Can you transfer 1000 rupees to account 123456789?,transfer_money,,,,1000 rupees,123456789,,
Deposit 5000 into my current account,transfer_money,,current,,5000,,,
I want to check my account balance,check_balance,,,,,,,
How much is in my account?,check_balance,,,,,,,
Please show me my available funds,check_balance,,,,,,,
Can you give me my account number?,account_info,,,,,,,
Where is the branch located in Chennai?,get_branch_details,,,,,,,
Tell me the interest rate on a fixed deposit,get_interest_rate,,,fixed deposit,,,,
Can you show me a map of nearby branches?,get_branch_details,,,,,,,
Hi, I have a question about my account,greeting_hi,,,,,,
Thanks for your help,greeting_bye,,,,,,,
Can I open a new savings account?,create_account,,savings,,,,,
I need to report a stolen debit card,lost_card,debit card,,,,,,
My mastercard is missing,lost_card,mastercard,,,,,,
Tell me about the gold loan interest rate,get_interest_rate,,,gold loan,,,,
I'd like to apply for a mortgage loan,apply_loan,,,mortgage loan,,,,
What is the rate for a personal loan?,get_interest_rate,,,personal loan,,,,
Show me transactions for the last 30 days,check_history,,,,,,,30 days
I need to check my balance on my birthday,check_balance,,,,,,,
Hey, I'd like to apply for a business loan,apply_loan,,,business loan,,,
What is the interest rate for a new car loan?,get_interest_rate,,,car loan,,,,
I need to report my credit card as lost,lost_card,credit card,,,,,,
What's the process to open a new account?,create_account,,,,,,,
Show me all my transactions this month,check_history,,,,,,,this month
I want to transfer Rs. 5000 to my account,transfer_money,,,,Rs. 5000,,,
Can I get details of my current account?,account_info,,current,,,,,
How much is the loan interest rate for students?,get_interest_rate,,,student loan,,,,
What is the nearest branch to me?,get_branch_details,,,,,,,
I need to block my prepaid card,lost_card,prepaid card,,,,,,
I want to open a recurring deposit account,create_account,,recurring deposit account,,,,,
What is my balance,check_balance,,,,,,,
Could you tell me the address of the branch on Main Street?,get_branch_details,,,,,,,
Thank you, I'm done,greeting_bye,,,,,,
I need to make a payment of ₹10000 to account number AC1234567,transfer_money,,,,₹10000,AC1234567,,
Please show my transaction history for last month,check_history,,,,,,,last month
I'd like to apply for an agriculture loan,apply_loan,,,agriculture loan,,,,
Hello, can you help me?,greeting_hi,,,,,,
Where is your main office?,get_branch_details,,,,,,,
I've lost my Visa card,lost_card,visa card,,,,,,
I want to apply for a property loan,apply_loan,,,property loan,,,,
How much is in my savings account?,check_balance,,savings,,,,,
Tell me about the interest rates,get_interest_rate,,,,,,,
I need to create a new salary account,create_account,,salary account,,,,,
What's the current interest rate?,get_interest_rate,,,,,,,
Can you help me get a personal loan?,apply_loan,,,personal loan,,,,
I need to block my ATM card,lost_card,atm card,,,,,,
I want to check my account balance today,check_balance,,,,,,,today
What is the interest rate on a home loan?,get_interest_rate,,,home loan,,,,
I have a question,greeting_hi,,,,,,,
What is my loan account number?,account_info,,,,,,,
I want to move 500 dollars to account 1234567,transfer_money,,,,500 dollars,1234567,,
I'm looking for a student loan,apply_loan,,,student loan,,,,
I want to close my account,close_account,,,,,,,
Where is the closest branch to me?,get_branch_details,,,,,,,
Tell me about my checking account,account_info,,checking account,,,,,
I need to send money,transfer_money,,,,,,,
I have lost my credit card,lost_card,credit card,,,,,,
Could you please transfer 25000 rupees to account 9876543210,transfer_money,,,,25000 rupees,9876543210,,
I'd like to know my balance,check_balance,,,,,,,
What are the requirements for a new account?,create_account,,,,,,,
I have lost my Rupay card,lost_card,rupay card,,,,,,
How much is the interest rate for business loans?,get_interest_rate,,,business loan,,,,
What is the procedure for a home loan?,apply_loan,,,home loan,,,,
I want to transfer funds from my current to savings account,transfer_money,,current,savings,,,,
I need help,greeting_hi,,,,,,,
I want to apply for a new debit card,apply_card,debit card,,,,,,
How do I check my balance?,check_balance,,,,,,,
I lost my Mastercard,lost_card,mastercard,,,,,,
Can I get the details of my fixed deposit account?,account_info,,fixed deposit account,,,,,
I need to know my account details,account_info,,,,,,,
I want to check my balance on tomorrow,check_balance,,,,,,,tomorrow
How do I open a zero balance account?,create_account,,zero balance account,,,,,
I need to make a transaction of 5000,transfer_money,,,,5000,,,
Could you tell me the interest rate on student loans?,get_interest_rate,,,student loan,,,,
I need to find the branch address in Delhi,get_branch_details,,,,,,,
I would like to apply for a gold loan,apply_loan,,,gold loan,,,,
I want to apply for a new card,apply_card,,,,,,,
I want to check my balance for yesterday,check_balance,,,,,,,yesterday
I need to transfer money to account 123456,transfer_money,,,,,123456,,
I want to apply for a new platinum card,apply_card,platinum card,,,,,,
I need to send money to a friend,transfer_money,,,,,,,
What's my balance for my current account?,check_balance,,current,,,,,
I need to block my business card,lost_card,business card,,,,,,
Please tell me my account number,account_info,,,,,,,
I need to create a new account,create_account,,,,,,,
I'm looking for an agriculture loan,apply_loan,,,agriculture loan,,,,
Tell me the location of the branch in Mumbai,get_branch_details,,,,,,,
I want to apply for a new visa card,apply_card,visa card,,,,,,
I need to transfer funds,transfer_money,,,,,,,
Can you help me with a car loan?,apply_loan,,,car loan,,,,
What is my balance,check_balance,,,,,,,
I have lost my prepaid card,lost_card,prepaid card,,,,,,
I need to apply for a new credit card,apply_card,credit card,,,,,,
How can I find out my account number?,account_info,,,,,,,
I need to send money to account 888999,transfer_money,,,,,888999,,
What are the interest rates for different loans?,get_interest_rate,,,,,,,
I have lost my gold card,lost_card,gold card,,,,,,
I need to apply for a new business card,apply_card,business card,,,,,,
I want to know the interest rate for a new car loan,get_interest_rate,,,car loan,,,,
Show me my account balance,check_balance,,,,,,,
What is the interest rate for a property loan?,get_interest_rate,,,property loan,,,,
I need to open a new student account,create_account,,student account,,,,,
I want to transfer 1000 rupees,transfer_money,,,,1000 rupees,,,
I want to see my transaction history,check_history,,,,,,,
How can I get a loan?,apply_loan,,,,,,,
I want to close my savings account,close_account,,savings,,,,,
I need to find a branch,get_branch_details,,,,,,,
I'm done,greeting_bye,,,,,,,
I want to send 50000 rupees to account AC123456,transfer_money,,,,50000 rupees,AC123456,,
I need to get a home loan,apply_loan,,,home loan,,,,
My ATM card is lost,lost_card,atm card,,,,,,
I'd like to check my balance,check_balance,,,,,,,
I want to apply for a new atm card,apply_card,atm card,,,,,,
What are the charges for a new account?,create_account,,,,,,,
I want to transfer funds from my current to checking account,transfer_money,,current,checking account,,,,
Where are your branches located?,get_branch_details,,,,,,,
What is the interest rate on a car loan?,get_interest_rate,,,car loan,,,,
I need to block my credit card,lost_card,credit card,,,,,,
I'd like to apply for an education loan,apply_loan,,,education loan,,,,
I need to know my account details,account_info,,,,,,,
Can you help me,greeting_hi,,,,,,,
I'd like to open a new account,create_account,,,,,,,
I have lost my card,lost_card,,,,,,,
What is the address of the branch in Mumbai?,get_branch_details,,,,,,,
I want to know about personal loan interest rates,get_interest_rate,,,personal loan,,,,
I need to transfer 2000 from my savings account,transfer_money,,savings,,2000,,,
How do I open a joint account?,create_account,,joint account,,,,,
I'm looking to transfer money,transfer_money,,,,,,,
I need to report a lost debit card,lost_card,debit card,,,,,,
What's the process for getting a mortgage loan?,apply_loan,,,mortgage loan,,,,
Tell me about my balance,check_balance,,,,,,,
I need to apply for a new credit card,apply_card,credit card,,,,,,
I have a question about my account,greeting_hi,,,,,,,
I want to send money to account ActNo 556677,transfer_money,,,,,ActNo 556677,,
I need to check my account balance for the last 3 months,check_history,,,,,,,last 3 months
I want to know my account info,account_info,,,,,,,
I need to know my balance on 10/11/2024,check_balance,,,,,,10-11-2024,
I want to know the interest rate for a home loan,get_interest_rate,,,home loan,,,,
I need to find a branch near me,get_branch_details,,,,,,,
I want to apply for a business loan,apply_loan,,,business loan,,,,
I lost my credit card,lost_card,credit card,,,,,,
I need to apply for a new card,apply_card,,,,,,,
Tell me about my savings account,account_info,,savings,,,,,
I need to transfer money to a friend's account,transfer_money,,,,,,,
I'd like to close my current account,close_account,,current,,,,,
How do I get a car loan?,apply_loan,,,car loan,,,,
I want to know my balance,check_balance,,,,,,,
I want to apply for a new prepaid card,apply_card,prepaid card,,,,,,
I lost my Rupay card,lost_card,rupay card,,,,,,
I need to send 2000 from my current account to savings,transfer_money,,current,savings,,2000,,
I want to close my account,close_account,,,,,,,
I have a question about my account,greeting_hi,,,,,,,
Can I get a student loan?,apply_loan,,,student loan,,,,
I want to know about my account,account_info,,,,,,,
I need to get a loan,apply_loan,,,,,,,
I'm done,greeting_bye,,,,,,,
I want to check my account balance on 12/25/2024,check_balance,,,,,,12/25/2024,
I need to know the interest rate for a car loan,get_interest_rate,,,car loan,,,,
I want to check my account details,account_info,,,,,,,
I need to apply for an agriculture loan,apply_loan,,,agriculture loan,,,,
I want to apply for a home loan,apply_loan,,,home loan,,,,
I need to send money,transfer_money,,,,,,,
I need to apply for a business loan,apply_loan,,,business loan,,,,
What is my balance,check_balance,,,,,,,
I'm looking to apply for a new debit card,apply_card,debit card,,,,,,
I have a question about my account,greeting_hi,,,,,,,
Can you help me get a loan?,apply_loan,,,,,,,
I need to know my account details,account_info,,,,,,,
How can I get an education loan?,apply_loan,,,education loan,,,,
What is the interest rate for a student loan?,get_interest_rate,,,student loan,,,,
I need to know my balance,check_balance,,,,,,,
I want to check my account balance on 01-10-2024,check_balance,,,,,,01-10-2024,
I need to find a branch,get_branch_details,,,,,,,
I want to transfer funds,transfer_money,,,,,,,
I need to report a lost atm card,lost_card,atm card,,,,,,
I need to open a new account,create_account,,,,,,,
I want to know about my account,account_info,,,,,,,
How can I check my balance?,check_balance,,,,,,,
I want to apply for a mortgage loan,apply_loan,,,mortgage loan,,,,
I need to send money to account AC1234567,transfer_money,,,,,AC1234567,,
What's the interest rate on a mortgage loan?,get_interest_rate,,,mortgage loan,,,,
I have lost my mastercard,lost_card,mastercard,,,,,,
What's the process for getting a gold loan?,apply_loan,,,gold loan,,,,
I want to check my balance,check_balance,,,,,,,
I want to know my account number,account_info,,,,,,,
I need to apply for a new card,apply_card,,,,,,,
I need to transfer 5000 rupees to account 12345678,transfer_money,,,,5000 rupees,12345678,,
I have a question about my account,greeting_hi,,,,,,,
I need to close my account,close_account,,,,,,,
I want to know the interest rate for a property loan,get_interest_rate,,,property loan,,,,
I have lost my credit card,lost_card,credit card,,,,,,
I need to transfer funds from my current account,transfer_money,,current,,,,,
I want to apply for a personal loan,apply_loan,,,personal loan,,,,
I need to find a branch,get_branch_details,,,,,,,
I want to apply for a new visa card,apply_card,visa card,,,,,,
I need to know my balance,check_balance,,,,,,,
I want to know my account details,account_info,,,,,,,
I need to transfer money to a friend,transfer_money,,,,,,,
How can I open a new account?,create_account,,,,,,,
I need to transfer 10000 rupees from my savings,transfer_money,,savings,,10000,,,
I'd like to get a home loan,apply_loan,,,home loan,,,,
I need to report a lost card,lost_card,,,,,,,
I'm looking to get a loan,apply_loan,,,,,,,
I want to check my account balance for yesterday,check_balance,,,,,,,yesterday
I want to know about my account,account_info,,,,,,,
I need to check my balance,check_balance,,,,,,,
I want to close my current account,close_account,,current,,,,,
I have lost my card,lost_card,,,,,,,
What is the interest rate for a car loan?,get_interest_rate,,,car loan,,,,
I need to transfer 2000 from my savings account to checking,transfer_money,,savings,checking,,2000,,
I want to know my account details,account_info,,,,,,,
How can I check my balance?,check_balance,,,,,,,
I need to open a new account,create_account,,,,,,,
I want to know about my savings account,account_info,,savings,,,,,
I need to apply for a new card,apply_card,,,,,,,
I want to know the interest rate for a student loan,get_interest_rate,,,student loan,,,,
I need to know my balance,check_balance,,,,,,,
I need to transfer money to a friend's account,transfer_money,,,,,,,
I have lost my mastercard,lost_card,mastercard,,,,,,
I want to know about my account,account_info,,,,,,,
How can I get a car loan?,apply_loan,,,car loan,,,,
I want to check my account balance on 01-01-2025,check_balance,,,,,,01-01-2025,
I need to find a branch,get_branch_details,,,,,,,
I want to transfer funds from my current account,transfer_money,,current,,,,,
I need to report a lost debit card,lost_card,debit card,,,,,,
I need to apply for a new credit card,apply_card,credit card,,,,,,
I want to know my account details,account_info,,,,,,,
I need to send money to account AC1234567,transfer_money,,,,,AC1234567,,
What's the interest rate on a mortgage loan?,get_interest_rate,,,mortgage loan,,,,
I have lost my mastercard,lost_card,mastercard,,,,,,
What's the process for getting a gold loan?,apply_loan,,,gold loan,,,,
I want to check my balance,check_balance,,,,,,,
I want to know my account number,account_info,,,,,,,
I need to apply for a new card,apply_card,,,,,,,
I need to transfer 5000 rupees to account 12345678,transfer_money,,,,5000 rupees,12345678,,
I have a question about my account,greeting_hi,,,,,,,
I need to close my account,close_account,,,,,,,
I want to know the interest rate for a property loan,get_interest_rate,,,property loan,,,,
I have lost my credit card,lost_card,credit card,,,,,,
I need to transfer funds from my current account,transfer_money,,current,,,,,
I want to apply for a personal loan,apply_loan,,,personal loan,,,,
I need to find a branch,get_branch_details,,,,,,,
I want to apply for a new visa card,apply_card,visa card,,,,,,
I need to know my balance,check_balance,,,,,,,
I want to know my account details,account_info,,,,,,,
I need to transfer money to a friend,transfer_money,,,,,,,
How can I open a new account?,create_account,,,,,,,
I need to transfer 10000 rupees from my savings,transfer_money,,savings,,10000,,,
I'd like to get a home loan,apply_loan,,,home loan,,,,
I need to report a lost card,lost_card,,,,,,,
I'm looking to get a loan,apply_loan,,,,,,,
I want to check my account balance for yesterday,check_balance,,,,,,,yesterday
I want to know about my account,account_info,,,,,,,
I need to check my balance,check_balance,,,,,,,
I want to close my current account,close_account,,current,,,,,
I have lost my card,lost_card,,,,,,,
What is the interest rate for a car loan?,get_interest_rate,,,car loan,,,,
I need to transfer 2000 from my savings account to checking,transfer_money,,savings,checking,,2000,,
I want to know my account details,account_info,,,,,,,
How can I check my balance?,check_balance,,,,,,,
I need to open a new account,create_account,,,,,,,
I want to know about my savings account,account_info,,savings,,,,,
I need to apply for a new card,apply_card,,,,,,,
I want to know the interest rate for a student loan,get_interest_rate,,,student loan,,,,
I need to know my balance,check_balance,,,,,,,
I need to transfer money to a friend's account,transfer_money,,,,,,,
I have lost my mastercard,lost_card,mastercard,,,,,,
I want to know about my account,account_info,,,,,,,
How can I get a car loan?,apply_loan,,,car loan,,,,
I want to check my account balance on 01-01-2025,check_balance,,,,,,01-01-2025,
I need to find a branch,get_branch_details,,,,,,,
I want to transfer funds from my current account,transfer_money,,current,,,,,
I need to report a lost debit card,lost_card,debit card,,,,,,
I need to apply for a new credit card,apply_card,credit card,,,,,,
I want to know my account details,account_info,,,,,,,
